2025,YEAR C cont…
,Saint Anthony Zaccaria
,Saturday Mass of the Virgin Mary
,
6 July,14 ORDINARY
7 July,Monday of the fourteenth week in Ordinary Time
,Blessed Peter to Rot
8 July,Tuesday of the fourteenth week in Ordinary Time
9 July,Wednesday of the fourteenth week in Ordinary Time
,Saint Augustine Zhao Rong and companions
10 July,Thursday of the fourteenth week in Ordinary Time
11 July,Saint Benedict
12 July,Saturday of the fourteenth week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
13 July,15 ORDINARY
14 July,Monday of the fifteenth week in Ordinary Time
,Saint Camillus de Lellis
15 July,Saint Bonaventure
16 July,Wednesday of the fifteenth week in Ordinary Time
,Our Lady of Mount Carmel
17 July,Thursday of the fifteenth week in Ordinary Time
18 July,Friday of the fifteenth week in Ordinary Time
19 July,Saturday of the fifteenth week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
20 July,16 ORDINARY
21 July,Monday of the sixteenth week in Ordinary Time
,Saint Lawrence of Brindisi
22 July,Saint Mary Magdalene
23 July,Wednesday of the sixteenth week in Ordinary Time
,Saint Bridget
24 July,Thursday of the sixteenth week in Ordinary Time
,Saint Sharbel Mahkluf
25 July,Saint James
26 July,Saints Joachim and Anne
,
27 July,17 ORDINARY
28 July,Monday of the seventeenth week in Ordinary Time
29 July,"Saints Martha, Mary and Lazarus"
30 July,Wednesday of the seventeenth week in Ordinary Time
,Saint Peter Chrysologus
31 July,Saint Ignatius Loyola
1 August,Saint Alphonsus Liguori
2 August,Saturday of the seventeenth week in Ordinary Time
,Saint Eusebius of Vercelli
,Saint Peter Julian Eymard
,Saturday Mass of the Virgin Mary
,
3 August,18 ORDINARY
4 August,Saint John Vianney
5 August,Tuesday of the eighteenth week in Ordinary Time
,The Dedication of the Basilica of St Mary Major
6 August,The Transfiguration of the Lord
7 August,Thursday of the eighteenth week in Ordinary Time
,Saints Sixtus II and companions
,Saint Cajetan
8 August,SAINT MARY OF THE CROSS
9 August,Saturday of the eighteenth week in Ordinary Time
,Saint Teresa Benedicta of the Cross
,Saturday Mass of the Virgin Mary
,
10 August,19 ORDINARY
11 August,Saint Clare
12 August,Tuesday of the nineteenth week in Ordinary Time
,Saint Jane Frances de Chantal
13 August,Wednesday of the nineteenth week in Ordinary Time
,Saints Pontian and Hippolytus
14 August,Saint Maximilian Kolbe
15 August,THE ASSUMPTION OF THE BLESSED VIRGIN MARY
16 August,Saturday of the nineteenth week in Ordinary Time
,Saint Stephen of Hungary
,Saturday Mass of the Virgin Mary
,
17 August,20 ORDINARY
18 August,Monday of the twentieth week in Ordinary Time
19 August,Tuesday of the twentieth week in Ordinary Time
,Saint John Eudes
20 August,Saint Bernard
21 August,Saint Pius X
22 August,The Queenship of the Blessed Virgin Mary
23 August,Saturday of the twentieth week in Ordinary Time
,Saint Rose of Lima
,Saturday Mass of the Virgin Mary
,
24 August,21 ORDINARY
25 August,Monday of the twenty-first week in Ordinary Time
,Saint Joseph Calasanz
,Saint Louis
26 August,Tuesday of the twenty-first week in Ordinary Time
27 August,Saint Monica
28 August,Saint Augustine
29 August,The Passion of Saint John the Baptist
30 August,Saturday of the twenty-first week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
31 August,22 ORDINARY
1 September,Monday of the twenty-second week in Ordinary Time
2 September,Tuesday of the twenty-second week in Ordinary Time
3 September,Saint Gregory the Great
4 September,Thursday of the twenty-second week in Ordinary Time
5 September,Friday of the twenty-second week in Ordinary Time
,Ember Day
6 September,Saturday of the twenty-second week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
7 September,23 ORDINARY
8 September,The Nativity of the Blessed Virgin Mary
9 September,Tuesday of the twenty-third week in Ordinary Time
,Saint Peter Claver
10 September,Wednesday of the twenty-third week in Ordinary Time
11 September,Thursday of the twenty-third week in Ordinary Time
12 September,Friday of the twenty-third week in Ordinary Time
,The Most Holy Name of Mary
13 September,Saint John Chrysostom
,
14 September,THE EXALTATION OF THE HOLY CROSS
15 September,Our Lady of Sorrows
16 September,Saints Cornelius and Cyprian
17 September,Wednesday of the twenty-fourth week in Ordinary Time
,Saint Hildegard of Bingen
,Saint Robert Bellarmine
18 September,Thursday of the twenty-fourth week in Ordinary Time
19 September,Friday of the twenty-fourth week in Ordinary Time
,Saint Januarius
20 September,Saints Andrew Kim Taegon and Paul Chong Hasang and companions
,
21 September,25 ORDINARY
22 September,Monday of the twenty-fifth week in Ordinary Time
23 September,Saint Pius of Pietrelcina
24 September,Wednesday of the twenty-fifth week in Ordinary Time
25 September,Thursday of the twenty-fifth week in Ordinary Time
26 September,Friday of the twenty-fifth week in Ordinary Time
,Saints Cosmas and Damian
27 September,Saint Vincent de Paul
,
28 September,26 ORDINARY
29 September,"Saints Michael, Gabriel and Raphael"
30 September,Saint Jerome
1 October,Saint Thérèse of the Child Jesus
2 October,The Holy Guardian Angels
3 October,Friday of the twenty-sixth week in Ordinary Time
4 October,Saint Francis of Assisi
,
5 October,27 ORDINARY
6 October,Monday of the twenty-seventh week in Ordinary Time
,Saint Bruno
7 October,Our Lady of the Rosary
8 October,Wednesday of the twenty-seventh week in Ordinary Time
9 October,Thursday of the twenty-seventh week in Ordinary Time
,Saints Denis and companions
,Saint John Leonardi
10 October,Friday of the twenty-seventh week in Ordinary Time
11 October,Saturday of the twenty-seventh week in Ordinary Time
,Saint John XXIII
,Saturday Mass of the Virgin Mary
,
12 October,28 ORDINARY
13 October,Monday of the twenty-eighth week in Ordinary Time
14 October,Tuesday of the twenty-eighth week in Ordinary Time
,Saint Callistus I
15 October,Saint Teresa of Jesus
16 October,Thursday of the twenty-eighth week in Ordinary Time
,Saint Hedwig
,Saint Margaret Mary Alacoque
17 October,Saint Ignatius of Antioch
18 October,Saint Luke
,
19 October,29 ORDINARY
20 October,Monday of the twenty-ninth week in Ordinary Time
21 October,Tuesday of the twenty-ninth week in Ordinary Time
22 October,Wednesday of the twenty-ninth week in Ordinary Time
,Saint John Paul II
23 October,Thursday of the twenty-ninth week in Ordinary Time
,Saint John of Capistrano
24 October,Friday of the twenty-ninth week in Ordinary Time
,Saint Anthony Mary Claret
25 October,Saturday of the twenty-ninth week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
26 October,30 ORDINARY
27 October,Monday of the thirtieth week
28 October,Saints Simon and Jude
29 October,Wednesday of the thirtieth week
30 October,Thursday of the thirtieth week
31 October,Friday of the thirtieth week
1 November,ALL SAINTS
,
2 November,THE COMMEMORATION OF ALL THE FAITHFUL DEPARTED
3 November,Monday of the thirty-first week in Ordinary Time
,Saint Martin de Porres
4 November,Saint Charles Borromeo
5 November,Wednesday of the thirty-first week in Ordinary Time
6 November,Thursday of the thirty-first week in Ordinary Time
7 November,Friday of the thirty-first week in Ordinary Time
8 November,Saturday of the thirty-first week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
9 November,THE DEDICATION OF THE LATERAN BASILICA
10 November,Saint Leo the Great
11 November,Saint Martin of Tours
12 November,Saint Josaphat
13 November,Thursday of the thirty-second week in Ordinary Time
14 November,Friday of the thirty-second week in Ordinary Time
15 November,Saturday of the thirty-second week in Ordinary Time
,Saint Albert the Great
,Saturday Mass of the Virgin Mary
,
16 November,33 ORDINARY
17 November,Saint Elizabeth of Hungary
18 November,Tuesday of the thirty-third week in Ordinary Time
,Dedication of the Basilicas of Saints Peter and Paul
19 November,Wednesday of the thirty-third week in Ordinary Time
20 November,Thursday of the thirty-third week in Ordinary Time
21 November,The Presentation of the Blessed Virgin Mary
22 November,Saint Cecilia
,
23 November,"OUR LORD JESUS CHRIST, KING OF THE UNIVERSE"
24 November,Saint Andrew Dũng-Lạc and Companions
25 November,Tuesday of the thirty-fourth week in Ordinary Time
,Saint Catherine of Alexandria
26 November,Wednesday of the thirty-fourth week in Ordinary Time
27 November,Thursday of the thirty-fourth week in Ordinary Time
28 November,Friday of the thirty-fourth week in Ordinary Time
29 November,Saturday of the thirty-fourth week in Ordinary Time
,Saturday Mass of the Virgin Mary
,
,
,YEAR A
,
30 November,FIRST SUNDAY OF ADVENT
1 December,Monday of the first week of Advent
2 December,Tuesday of the first week of Advent
3 December,Saint Francis Xavier
4 December,Thursday of the first week of Advent
,Saint John Damascene
5 December,Friday of the first week of Advent
6 December,Saturday of the first week of Advent
,Saint Nicholas
,
7 December,SECOND SUNDAY OF ADVENT
8 December,THE IMMACULATE CONCEPTION OF THE BLESSED VIRGIN MARY
9 December,Tuesday of the second week of Advent
,Saint Juan Diego Cuauhtlatoatzin
10 December,Wednesday of the second week of Advent
,Our Lady of Loreto
11 December,Thursday of the second week of Advent
,Saint Damasus I
12 December,Friday of the second week of Advent
,Our Lady of Guadalupe
13 December,Saint Lucy
,
14 December,THIRD SUNDAY OF ADVENT
15 December,Monday of the third week of Advent
16 December,Tuesday of the third week of Advent
17 December,17 December
18 December,18 December
19 December,19 December
20 December,20 December
,
21 December,FOURTH SUNDAY OF ADVENT
22 December,22 December
23 December,23 December
,Saint John of Kanty (commemoration)
24 December,24 December
25 December,THE NATIVITY OF THE LORD
26 December,Saint Stephen
27 December,Saint John
,
28 December,"THE HOLY FAMILY OF JESUS, MARY, AND JOSEPH"
29 December,Fifth day in the octave of Christmas
,Saint Thomas Becket (commemoration)
30 December,Sixth day in the octave of Christmas
31 December,Seventh day in the octave of Christmas
,Saint Sylvester I (commemoration)
